[header]
width=64
height=64
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=46,57
music=music/unrest_theme.ogg
parallax_layers=maps/parallax/space.txt
tileset=tilesetdefs/tileset_grassland.txt
title=Rainbow Kingdom

[tilesets]
tileset=../../../tiled/grassland/tiled_collision.png,64,32,0,0
tileset=../../../tiled/grassland/grassland.png,64,128,0,0
tileset=../../../tiled/grassland/grassland_water.png,64,64,0,32
tileset=../../../tiled/grassland/grassland_structures.png,64,256,0,0
tileset=../../../tiled/grassland/grassland_trees.png,128,256,-32,0
tileset=../../../tiled/grassland/set_rules.png,64,32,0,0
tileset=../../../tiled/grassland/tiled_grassland_2x2.png,128,64,0,16

[layer]
type=background
data=
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,10,29,29,10,10,10,10,10,10,10,10,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10
-1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,24,29,29,10,10,24,24,10,24,24,10,25,10,10,25,25,25,25,25,25,25,25,25,25,25,110
-1,24,24,24,24,24,24,24,24,24,24,24,24,10,24,23,24,24,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,24,29,29,29,24,24,24,24,24,24,24,24,24,10,25,25,25,25,25,25,25,25,25,25,25
-1,24,24,10,24,24,24,23,23,24,24,24,10,10,23,23,24,24,24,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,29,29,29,29,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25
-1,24,24,24,24,24,23,23,23,24,24,24,24,24,23,10,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,29,29,29,29,29,24,24,24,10,24,24,10,24,24,25,25,25,25,25,25,25,25,25
-1,24,24,24,10,10,24,24,23,24,24,24,24,24,23,10,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,10,24,24,24,24,24,29,29,29,29,24,24,24,10,24,24,24,24,24,24,25,25,25,25,25,25,25,25
-1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,24,24,24,24,24,29,29,29,24,24,24,24,24,24,24,29,29,29,25,25,25,25,25,25,25
-1,24,23,23,10,24,23,23,23,23,23,24,23,23,23,23,24,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,24,24,24,24,24,24,29,29,24,24,24,24,24,24,24,29,24,24,24,25,25,25,25,25,25
-1,24,24,24,24,24,24,24,23,23,24,24,24,24,24,23,24,24,24,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,24,24,24,24,24,24,29,29,24,24,24,24,24,29,29,24,24,24,24,25,25,25,25,25
-1,24,24,24,24,24,24,24,23,23,24,10,10,10,24,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,24,24,24,24,24,24,29,29,29,29,24,29,29,24,24,24,24,24,24,10,25,25,25,25
