
img=images/tilesets/pinktiles.png

tile=10,92,99,64,32,32,16
tile=40,292,101,64,32,32,16
tile=39,198,97,64,32,32,16
tile=24,894,97,64,32,32,16
tile=25,710,97,64,32,32,16
tile=23,805,96,64,32,32,16
tile=29,614,95,64,32,32,16


tile=36,62,230,150,100,32,16 
tile=30,734,260,150,100,32,16
tile=34,248,230,150,120,32,16
tile=9,414,266,149,120,32,16

tile=22,42,414,400,350,32,16
tile=37,528,530,150,170,32,16
tile=43,630,818,170,170,32,16
tile=14,1017,790,100,170,32,16
tile=32,803,788,170,170,32,16
tile=19,457,830,170,100,32,16
tile=20,916,477,150,300,32,16
tile=38,574,263,110,110,32,16
tile=8,864,256,100,100,32,16

tile=16,799,1028,100,100,32,16
tile=12,1133,958,150,160,32,16
tile=13,219,800,200,200,32,16
tile=17,948,991,150,150,32,16
tile=41,732,510,160,250,32,16 
tile=15,406,955,250,200,32,16
tile= 3,219,998,150,150,32,16

tile= 4,668,1016,100,100,32,16

